id,charity_name,website,affiliation,post_code,city,address,email,phone_number,area_of_impact
146,Associação Filhos do Coração,http://www.addaptcreative.com/fdc/,ONGD,1350-177,Lisboa,"Rua Almeida Brandão, 3, 1º Dto", apborges@tvi.pt,,
147,Associação GirlMove Portugal,http://www.girlmove.org/,ONGD,1500-369,Lisboa,"Rua Jorge Barradas, n.º 35 – C", alexandra.machado@girlmove.org,213 839 060,
148,Associação Horizontes,https://horizontesong.wixsite.com/ongd,ONGD,3700-025,São João da Madeira,"Rua Afonso Albuquerque, n.º 458", horizontes.ong@gmail.com,969 510 339,
149,Associação Karingana Wa Karingana,http://karinganawakaringana.org/,ONGD,1600-598,Lisboa,"Rua Prof. Francisco Gentil, n.º 33", associacao@karinganawakaringana.org,210 514 350,
150,Associação Magnalingue,https://www.facebook.com/MagnalingueONGD/,ONGD,6150-737,Sobreira Formosa,"Rua Infante Sagres, n.º 17", magnalingue@gmail.com,217 159 542,
151,Associação Mãos por Cazombo,http://www.maosporcazombo.org/,ONGD,4000-490,Porto,"Rua Santos Pousada, n.º 1245", maosporcazombo@gmail.com,96 543 08 32 / 96 900 84 60,
152,Associação Marquês de Valle Flôr,http://www.vflor.org/,ONGD,1100-183,Lisboa,"Rua do Crucifixo, n.º 40 – 1.º andar", info@vflor.org,21 325 63 00,
153,Associação Médicos do Mundo,http://www.medicosdomundo.pt/,ONGD,1300-125,Lisboa,Av. de Ceuta (Sul) Lote 4 – Loja 1, mdmp-lisboa@medicosdomundo.pt,927 379 836,
154,Associação Missão Dimix,http://www.missaodimix.org/,ONGD,1950-242,Lisboa,"Rua Pereira Henriques, n.º 3", ursotigre@missaodimix.org,917529716 / 918532091,
155,Associação Nova Dimensão ,http://www.and-pt.org/,ONGD,2625-063,Póvoa de Santa Iria,"Rua José Maria Duarte, Lote 15, R/C Dto.", geral@and-pt.org,960004472,
156,Associação Olhar Pelo Mundo,,ONGD,1150-111,Lisboa,"Rua Conselheiro Arantes Pedroso, n.º 25 – 3.º Dto",Email: olharpelomundo@gmail.com,91 442 50 08,
157,Associação P&D Factor,https://popdesenvolvimento.org/,ONGD,1200-480,Lisboa,"Avenida 24 de Julho, n 3 – 2ºEsq, sala 2 .",Emai: info@popdesenvolvimento.org,,
158,"Associação Padre Amadeu Pinto, SJ",http://www.cjcpap.org/,ONGD,2825-011,Alcaniça,Rua do Lago n1 RC ABCD, direcao.cjpamadeupinto@gmail.com ,919 153 824,
159,Associação Padrinhos d'África,http://www.padrinhosdeafrica.org/,ONGD,4635-664,Vila Boa de Quires,"Rua de Agrela, 423 Marco de Canavezes", padrinhos.africa@gmail.com,966479845,
160,Associação Padrinhos de Portugal,http://padrinhosdeportugal.blogs.sapo.pt/,ONGD,1350-179,Lisboa,"Avenida Infante Santo, 58, 4º C", padrinhosdeportugal@gmail.com,918717892,
161,Associação PerCurso Waldorf,http://associação-percurso-waldorf.pt/,ONGD,1170-113,Lisboa,"Rua Damasceno Monteiro, n.º 90 - 4.º esq.", curso.waldorf@gmail.com ,960223671,
162,Associação Plataforma para os Estudantes Sírios (APGES),http://www.globalplataformforsyrianstudents.org/,ONGD,1070-050,Lisboa,"Rua Castilho, n.º 165", daliasendra@casadoregalo.pt ,213 931 440,
163,Associação Portuguesa Amigos de Raoul Follereau,https://aparf.pt/,ONGD,1800-107,Lisboa,"Rua Cidade Nova Lisboa, nº7",,,
164,Associação Portuguesa de Solidariedade Mãos Unidas Padre Damião,http://www.maos-unidas.pt/,ONGD,1150-041,Lisboa,Rua Antero de Quental n.º 17 -17C, geral@maos-unidas.pt,21 351 57 20,
165,Associação Renovar a Mouraria,http://www.renovaramouraria.pt/,ONGD,1100-034,Lisboa,"Beco do Rosendo, n.º 8", geral@renovaramouraria.pt,21 888 52 03,
166,Associação Rising Child,https://www.risingchild.pt/,ONGD,2580-388,Alenquer,"Av. Jaime Augusto Ferreira, lote 2 4ºdto",,,
167,Associação S.O.G.A. - Servir Outra Gente com Amor,http://soga.pt/,ONGD,3070-125,Coimbra,"Rua da Estrada Nova, n.º 383", comunicacao@soga.pt ,965411278,
168,Associação SAPANA,http://www.sapana.org/,ONGD,1170-113,Lisboa,Rua Damasceno Monteiro 128A,hello@sapana.org,912 137 802,
169,"Associação SocialisRep – Solidariedade Reparadora, Associação de Acção Social",,ONGD,4000-308,Porto,"Rua João Pedro Ribeiro, 785      ",socialisrep@gmail.com,,
170,Associação SPIN para o Intercâmbio Formação e Cooperação entre os Povos,http://www.a-spin.pt/,ONGD,1600-746,Lisboa,"Rua Rio Tejo, n.º 7 - Antiga Escola Rio Tejo", direcao@a-spin.pt,91 451 92 64,
171,Associação Stella,,ONGD,4150-718,Porto,"Rua Dr. Sousa Rosa, n.º 232", daniel.bras.marques-6843p@adv.oa.pt ,,
172,Associação The Big Hand,http://www.thebighand.org/,ONGD,2900-284,Setúbal,"Rua de Brancanes, nº 17, R/C Esq.", geral@thebighand.org,21 753 02 20,
173,Associação Union Fraternelle Portugal - A.U.F.P.,https://pt-br.facebook.com/AUFPortugal/,ONGD,3780-455,Anadia,Curiatecnoparque, aufp.geral@gmail.com,931943896,
174,Associação Veterinários Sem Fronteiras - Portugal,http://www.facebook.com/VeterinariosSemFronteiras?sk=notes,ONGD,1300-477,Lisboa,"Faculdade de Medicina Veterinária, Avenida da Universidade Técnica, Pólo Alto da Ajuda", vsfpt@fmv.utl.pt ,213652800 / 213652838,
175,ATACA – Associação de Tutores e Amigos da Criança Africana,http://www.ataca.org/,ONGD,4200-209,Porto,"Rua Faria Guimarães, n.º 842", ataca@ataca.org,220 176 997,
176,AVOAR - Associação para a Educação Artística e as Literacias,,ONGD,7320-438,Castelo de Vide,"Rua D.José, n.º 3, r/c esq.", rui.andrade@avoar.org ,245 919 140,
177,Caritas Portuguesa ,http://www.caritas.pt/,ONGD,1000-238,Lisboa,Praça Pasteur n.º 11 – 2.º Esq., caritas@caritas.pt ,218454220,
178,Causa Maior – Associação,,ONGD,2950-306,Palmela,"Casal de S. Julião, Estrada do Castelo", causamaior.ongd@gmail.com ,919673096,
179,Centro de Estudos Africanos da Universidade do Porto,http://www.africanos.eu/ceaup,ONGD,4150-564,Porto,Faculdade de Letras da Universidade do Porto – Via Panorâmica – s/n, ceaup@letras.up.pt ,226 077 141,
180,CENTROP - Centro de Estudos Tropicais para o Desenvolvimento,http://www.centrop.org/,ONGD,1349-017,Lisboa,"Instituto Superior de Agronomia, Tapada da Ajuda", centrop@isa.utl.pt,21 365 31 28,
181,Chapitô – Coletividade Cultural e Recreativa de Santa Catarina,http://www.chapito.org/,ONGD,1149-079,Lisboa,"Costa do Castelo, n.º 1/7", teresa.ricou@chapito.org ,21 885 55 50,
182,CIDAC - Centro de Informação e Documentação Amílcar Cabral,http://www.cidac.pt/,ONGD,1050-069,Lisboa,"Rua Pinheiro Chagas, 77, 1º Dto.", cidac@cidac.pt ,213172860,
183,CLR Project - Associação de Apoio Social,,ONGD,2070,Cartaxo,"Travessa do Quintino, Bloco E, 2.º Dto", guerreirov@sapo.pt ,91 411 55 82,
184,Comité Português para a UNICEF,http://www.unicef.pt/,ONGD,1069-115,Lisboa,"Av. António Augusto Aguiar, 21 – 3.º Esq.",,21 317 7500 ,
185,Conselho da Diáspora Portuguesa,http://www.diasporaportuguesa.org/,ONGD,2750-834,Cascais,Estrada da Malveira Nº 800, catarina@diasporaportuguesa.org,214858689,
186,Conselho Português para os Refugiados,http://www.cpr.pt/,ONGD,1950-339,Lisboa,"Av. Virgílio Ferreira, lote 764, lojas D-E", geral@cpr.pt ,218 314 372,
187,CONSUMARE– Organização Internacional das Associações de Consumidores de Língua Portuguesa,http://consumare.org/,ONGD,1269-160,Lisboa,"Rua de Artilharia Um, n.º 79 - 5.º", consumare@consumare.org ,21 371 02 13,
188,Cruz Vermelha Portuguesa,http://www.cruzvermelha.pt/,ONGD,1249-083,Lisboa,"Jardim 9 de abril, 1 a 5", cooperacao@cruzvermelha.org.pt,219 313 900,
189,"ECOS – Cooperativa de Educação, Cooperação e Desenvolvimento",http://www.ecos.pt/,ONGD,8000-139,Faro,"Universidade do Algarve, Pavilhão A5", geral@ecos.pt,966 669 345,
190,"Engenho e Obra, Associação para o Desenvolvimento e Cooperação - O.N.G.D.",http://www.engenhoeobra.org/,ONGD,4200-072,Porto,"Rua Dr. António Bernardino de Almeida, 431 - Sala E202", secretariado@engenhoeobra.org ,228 340 583,
191,Equipa d'África Associação,http://www.equipadeafrica.com/,ONGD,1200-667,Lisboa,Praça da Estrela nº 12, geral@equipadafrica.com ,21 397 25 32,
192,"ESDIME – Agência para o Desenvolvimento Local no Alentejo Sudoeste, C.R.L.",,ONGD,7600-337,Messejana,"Rua do Engenho, nº 10", esdime@esdime.pt ,284650000,
193,Espaço Lusófono – Associação de Cooperação para o Desenvolvimento,http://www.espacolusofono.org/,ONGD,4700-224,Braga,Rua Doutor Felicíssimo Campos nº 224/226     , geral@espacolusofono.org ,253066116,
194,Estímulo - Centro de Estudos - Associação,,ONGD,2795-116,Linda-a-Velha,"Largo da Lagoa, 14", estimulo.ce@netcabo.pt ,214 144 089,
195,EU E OS MEUS IRMÃOS – Associação para o Desenvolvimento da Criança,http://eueosmeusirmaos.blogspot.pt/,ONGD,2775-800,Carcavelos,"Rua Ilha do Faial, nº 24, 2º Dto.", eueosmeusirmaos@hotmail.com ,934405376 / 961769774 / 961555843,
196,EUIESA - International Entrepreneurship Sustainability Association,http://www.euiesa.eu/,ONGD,1100-202,Lisboa,"Praça Dom Pedro IV, n.º 74 - 1.º C", info@euiesa.eu ,21 347 12 79,
197,FOCUS - Fundação Assistência Humanitária Europa,,ONGD,1600-001,Lisboa,Rua Abranches Ferrão - Centro Ismaili, focuseuro@cism.com.pt ,217229001,
198,Fundação Bento Menni,https://irmashospitaleiras.pt/fundacao-bento-menni/apresentacao/a-fundacao,ONGD,1600-826,Lisboa,"Rua Prof. Luís da Cunha Gonçalves, Nº 3, R/C A,", fundacaobentomenni@irmashospitaleiras.pt ,217108140,
199,FOS – Associação de Fotografia e Vídeo Participativa,,ONGD,1050-081,Lisboa,"Av. Duque de Ávila, n.º 127 – 3.º andar", anafilipaflores@fos.pt,963873857,
200,Fundação Aga Khan Portugal,http://www.akdn.org/portugal,ONGD,1600-001,Lisboa,Avenida Lusíada, akdn.portugal@akdn.org,217 229 001,
201,Fundação Alentejo ,http://www.fundacao-alentejo.pt/,ONGD,7005-140,Évora,"Avenida Dinis Miranda, n.º 116", geral@fundacao-alentejo.pt ,266759100,
202,Fundação de Assistência Médica Internacional (AMI),http://www.ami.org.pt/,ONGD,1949-008,Lisboa,"R. José Patrocínio, 49", internacional@ami.org.pt ,218362100,
203,Fundação Champagnat,http://www.fundacaochampagnat.org/,ONGD,1500-100,Lisboa,"Estrada de Benfica, n.º 372", funda_champagnat@maristasompostela.org ,217780073,
204,Fundação Cidade Lisboa,http://www.fundacaocidadedelisboa.pt/,ONGD,1700-097,Lisboa,"Campo Grande, n.º 380", fclisboa@fundacaocidadedelisboa.pt,217568241/7,
205,Fundação Dom Manuel II,http://www.casarealportuguesa.org/dynamicdata/funda.asp,ONGD,1200-162,Lisboa,"Rua Duques de Bragança, n.º 10", fdommanuel@portugalmail.pt,213423705,
206,Fundação Fé e Cooperação - FEC,http://www.fecongd.net/,ONGD,1885-076,Moscavide,"Quinta do Cabeço, Porta D", geral@fecongd.org ,218861710,
207,Fundação Gonçalo da Silveira,http://www.fgs.org.pt/,ONGD,1750-296,Lisboa,"Estrada da Torre, 26", geral@fgs.org.pt ,217541627 / 217541620,
208,Fundação S. João de Deus,http://www.fundacao-sjd.pt/,ONGD,1050-130,Lisboa,"Avenida Júlio Dinis, 23, 1.º Esq., Campo Pequeno",sede@fundacao-sjd.pt,217 983 400,
209,G.R.A.C.E. - Associação Grupo para a Reconciliação em Áreas de Crise e Educação,,ONGD,7630-392,Relíquias,Monte do Cerro, grace@tamera.org,283635311,
210,GASNova - Grupo de Ação Social,http://www.gasnova.org/,ONGD,1750-465,Lisboa,"Rua Maluda, n.º 24 - 1.º B", geral@gasnova.org,92 536 36 95 / 91 778 43 90,
211,GASTagus - Grupo de Ação Social do Tagus,http://www.gastagus.org/,ONGD,2744-016,Oeiras,"Campus Instituto Superior Técnico - Taguspark - Sala 0,43, Av. Prof. Dr. Aníbal Cavaco Silva, Porto Salvo", geral@gastagus.org ,960240489,
212,GRAAL,http://www.graal.org.pt/coordenacao,ONGD,1150-215,Lisboa,Rua Luciano Cordeiro n.º 24 - 6º andar, secretariado@graal.org.pt / terraco@graal.org.pt ,21 354 68 31,
213,Grupo de Acção Social do Porto – G.A.S. Porto,http://www.gasporto.pt/,ONGD,4200-465,Porto,"Rua Dr. Roberto Frias, s/n", gasporto@gmail.com / info@gasporto.org,962256450 / 916343765,
214,Guardiões da Vida – Associação para o Fórum da Energia e Clima,http://www.climaeenergia.org/,ONGD,107300-555,Portalegre,Campus Politécnico de Portalegre,,,
215,Health 4 MOZ - Associação Health for Mozambican Kids and Mothers,http://gasnova.org/,ONGD,4450-676,Leça da Palmeira,"Rua Dr. Francisco Sá Carneiro, 142", info@healtbmoz.com ,,
216,Help Images - Associação de Promoção e Apoio à Solidariedade Social,http://www.helpimages.org/,ONGD,800-075,Lisboa,"Rua Cidade de Bissau, Lote 19, 14.º Esq. Frente 1", geral@helpimages.org ,917197319 /962407188,
217,Helpo - O Nosso Mundo é Humano,http://www.helpo.pt/,ONGD,2750-318,Cascais,"Rua da Catarina Eufémia, 167 A, Fontainhas", info@helpo.pt,211537687,
218,HUMANITAVE - Associação de Emergência Humanitária,http://humanitave.blogspot.com/,ONGD,4765-350,Oliveira Santa Maria,"Rua da Aldeia Nova, n.º 130, R/C", geral@humanitave.pt ,962784200/962784200,
219,Humanity Himalayan Mountains,https://humanity-himalyan-mountains.pt/,ONGD,3090-707,Figueira da Foz,"Rua do Hospital, n.º 41 - 2.º Ftr.", info@humanity-himalayan-mountains.pt,912375774,
220,IAC - Instituto de Apoio à  Criança,http://www.iacrianca.pt/,ONGD,1349-045,Lisboa,"Largo da Memória, n.º 14", iac-prua@iacrianca.pt,213617880,
221,ICE - Instituto das Comunidades Educativas,http://www.iceweb.org/,ONGD,2910-614,Setúbal,"Rua do Moinho, n.º 1, r/c, D11, Bela Vista", alternativa.ice@gmail.com ,265 783 006,
222,IMVF - Fundação Instituto Marquês de Valle-Flôr,http://www.imvf.org/,ONGD,1100-548,Lisboa,"R. de S. Nicolau, 105", info@imvf.org ,213 256 300,
223,IPAV - Instituto Padre António Vieira,,ONGD,4200-072,Porto,"CiDEB - Universidade Católica Portuguesa na Rua Dr. Bernardino de Almeida, n.º 400", secretariado@ipav.pt ,21 885 47 30,
224,Kanimambo - Associação de Apoio ao Albinismo,https://pt-pt.facebook.com/MKanimambo/,ONGD,1600-468,Lisboa,"Rua Frederico George, n.º 29 - 1.º D", kanimambopt@gmail.com,919 859 381,
225,Leigos para o Desenvolvimento,http://www.leigos.org/,ONGD,1750-296,Lisboa,"Estrada da Torre, n.º 26", geral@leigos.org ,217 574 278,
226,Mães do Mundo – Associação,http://maesdomundo.comunidades.net/,ONGD,3080-378,Figueira da Foz,"Rua Vale dos Poços, n.º 24-M", maesdomundo@hotmail.com ,968 900 838,
227,Massala - Associação de Médicos no Abraço a Moçambique,,ONGD,4150-650,Porto,"Rua Marechal Saldanha, n.º 34", clararamalhao@gmail.com,962428898,
228,Meninos do Mundo - Associação,http://www.meninosdomundo.org/,ONGD,1900-073,Lisboa,"Rua António Luís Inácio, nº 31, 4º Dto.", meninosdomundo@gmail.com ,,
229,"MONTE – Desenvolvimento Alentejo Central, ACE",http://www.monte-ace.pt/,ONGD,7040-066,Arraiolos,"Rua Joaquim Basílio Lopes, n.º 1", monte@monte-ace.pt ,266490090,
230,MSH - Missão Saúde para a Humanidade,http://www.msh.pt/,ONGD,3810-193,Aveiro,"Incubadora de Empresas, Universidade de Aveiro, Pavilhão I – Campus Universitário de Santiago", contacto@msh.pt,234 380 300,
231,Mundo a Sorrir - Associação de Médicos Dentistas Solidários Portugueses,http://www.mundoasorrir.org/,ONGD,4150-213,Porto,"Rua Ciríaco Cardoso, 265-C, 5.º Dto.", geral@mundoasorrir.org,220169882,
232,Na Rota dos Povos - Associação Cultural e Desportiva,http://www.narotadospovos.com/pagegen.asp?SYS_PAGE_ID=782773,ONGD,4450-287,Matosinhos,"Rua Sousa Aroso, 700, R/C Esq.", narotadospovos@gmail.com / tito.baiao@narotadospovos.com,964583380,
233,"Ocean Alive, Cooperativa ",https://www.ocean-alive.org/,ONGD,7080-303,Vendas Novas,Bombel – Casal 32,,,
234,OIKOS - Cooperação e Desenvolvimento,http://www.oikos.pt/,ONGD,2790-447,Queijas,"Rua Visconde Moreira de Rey, 37 Linda-a-Pastora, Oeiras", oikos.sec@oikos.pt,218823630,
235,ONGD MOVE - Associação de Microcrédito e Empreendedorismo,http://www.catolicamove.com/,ONGD,1649-023,Lisboa,"Universidade Católica Portuguesa, Edifício CLBSE, G. 673, Palma de Cima",Email: coo@catolicamove.com,,
236,OMAS - Obra Missionária de Acção Social,http://leigos.boanova.pt/,ONGD,3721-908,Aveiro,"Largo da Igreja, Apartado 40 - Vila de Cucujães", omas.lbn@sapo.pt,256 899 337/330,
237,ORBIS - Cooperação e Desenvolvimento,,ONGD,3810-506,Aveiro,"Edifício CUFC Rua João Jacinto Magalhães, Campus Universitário de Santiago", info@orbiscooperation.org,234 420 600,
238,P&D Factor – Associação para a Cooperação sobre População e Desenvolvimento,https://popdesenvolvimento.org/,ONGD,1600-175,Lisboa,"Calçada da Palma de Baixo, nº 17, 3º Esq.", popdfactor@gmail.com ,917908514,
239,PAP - Associação Pão a Pão,https://m.facebook.com/paoapao.associacao/,ONGD,1600-414,Lisboa,"Rua Armindo Rodrigues, n.º 19 - 4.º Esq.", associacao.paoapao@gmail.com,93 678 66 03,
240,PAR - Respostas Sociais,http://www.par.org.pt/,ONGD,1749-016,Lisboa,"TECLABS - Campus da Faculdade de Ciências Universidade de Lisboa, Campo Grande", info@par.org.pt ,210935349,
241,Partilha Constante,,ONGD,2726-901,Mem Martins,"Estação de Correios de Mem Martins, Apartado 382", geral@partlhaconstante.org ,935453976,
242,Passo Positivo - Associação de Acção Social,http://www.passo-positivo.pt/,ONGD,4460-246,Senhora da Hora,"Rua Artur Napoleão, n.º 194", associacao.passopositivo@gmail.com / passopositivo@hotmail.com ,939 310 161,
243,PEEP - Educar para Empreender,http://www.peep.pt/,ONGD,4169-005,Porto,"Faculdade de Economia e Gestão da Universidade Católica do Porto, Centro Regional do Porto, Rua Diogo Botelho, n.º 1327", info@peep.pt ,91 781 85 79 ,
244,"Pelo Prazer de Viver/Saúde, Cultura e Vida – Associação de Desenvolvimento Social",http://www.appv-scv.pt/,ONGD,4535-209,Mozelos,"Rua Santa Luzia, n.º 85", appv.scv@gmail.com ,227472160,
245,Pista Mágica Associação,http://www.pista-magica.pt/,ONGD,4435-354,Rio Tinto,"Rua da Boavista, n.º 543", escoladevoluntariado@gmail.com,229 069 619,
246,"Por + Sorrisos, Associação de Voluntariado Portugal - Cabo Verde",,ONGD,3700-511,Arrifana,"Rua Frei Luís de Sousa, n.º 6", portugalcaboverde@hotmail.com,919 575 803,
247,"PSI-ON - Associação para a Educação, Desenvolvimento e Intervenção nas Comunidades",http://www.psi-on.org/,ONGD,4700-307,Braga,"Largo São Francisco, n.º 24 - 1.º TR, 1.º FR", geral@psi-on.org ,91 692 20 20,
248,REAPN - Rede Europeia Anti-Pobreza Portugal,http://www.eapn.pt/,ONGD,1600-196,Lisboa,"Rua Soeiro Pereira Gomes, 7, Apt. 311", ana.lopes@eapn.pt,217986448/9,
249,Rede Inducar,http://www.inducar.pt/v/index.php/pt/,ONGD,4000-201,Porto,Rua da Fábrica Social SN, info@inducar.pt,915335031,
250,Resgatar Sorrisos – Associação Humanitária para a Cooperação e Desenvolvimento,http://www.rostosolidario.pt/,ONGD,2410-111,Leiria,"Largo da Infantaria 7, n.º 19 – 1.º andar", l.branquinhocrespo-1430c@adv.oa.pt,244843270,
251,Rosto Solidário - Associação de Desenvolvimento Social e Humano,http://www.rostosolidario.pt/,ONGD,4520-239,Santa Maria da Feira,"Rua Mestre António Joaquim, 8", geral@rostosolidario.pt ,256 336 001,
252,RSET – Associação Técnico-Científica para o Desenvolvimento,http://www.rset.eu/,ONGD,1070-129,Lisboa,"Rua Fialho de Almeida , nº 14, 2º Esq",info@rset.eu / rset.info@gmail.com,,
253,Ser Mais Valia – Associação de Voluntariado para a Cidadania e Desenvolvimento,http://www.sermaisvalia.org/,ONGD,1300-906,Lisboa,"Bairro da Quinta do Cabrinha, Av. De Ceuta, loja 4C", geral@sermaisvalia.org,964286260,
254,SIM – Solidariedade Internacional a Moçambique,http://www.ongsim.org/pt/,ONGD,1200-619,Lisboa,"Rua Borges Carneiro, nº 18, 5º Esq.", geral@ongsim.org,935550555,
255,Sol Sem Fronteiras - Associação de Solidariedade Jovem Sem Fronteiras ,http://www.solsef.org/,ONGD,1200-801,Lisboa,"Rua de Santo Amaro à Estrela, nº51", info@solsef.org,213940047,
256,SOPRO – Organização Não Governamental de Solidariedade e Promoção,http://www.sopro.org.pt/,ONGD,4755-054,Barcelinhos,"Rua Irmãos de la Salle, Colégio de la Salle", geral@sopro.org.pt ,253831249,
257,Terras Dentro - Associação para o Desenvolvimento Integrado,http://www.terrasdentro.pt/,ONGD,7090-049,Alcáçovas,Rua Rossio do Pinheiro, atd@terrasdentro.pt,266 948 070,
258,"TESE – Associação para o Desenvolvimento da Tecnologia, Engenharia, Saúde e Educação",http://www.tese.org.pt/,ONGD,1250-022,Lisboa,"Rua das Amoreiras, 101", info@tese.org.pt,213 868 404,
259,Tkcv – Take C'air Crew Volunteers,http://www.takecair.blogspot.com/,ONGD,2795-208,Linda-a-Velha,Rua Jacinto Soares de Albergaria 1 – 3B, pat.takecair@gmail.com,919797906,
260,"Transparência e Integridade, Associação Cívica",https://transparencia.pt/,ONGD,1600-189,Lisboa,"Avenida Professor Aníbal de Bettencourt, n.º 9", secretariado@transparencia.pt,217522075,
261,Única Mixing Cultures,http://www.ongunica.org/,ONGD,2705-180,Colares,"Av. dos Bombeiros Voluntários, n.º 39", unica@mixingcultures.eu,91 706 99 65,
262,UNITE - Association of Parliamentarians to End HIV/AIDS,http://unitenetwork.org/,ONGD,1600-548,Lisboa,"Rua Padre Américo, n.º 20 - 3.º A", unitenetwork@unitenetwork.org,213917377,
263,Univerdesafio - Associação para a Cooperação e Desenvolvimento,http://www.univerdesafio.org/,ONGD,2870-129,Montijo,"Praceta Cidade de Braga, nº 157", onguniverdesafio@gmail.com,917192845,
264,URB-ÁFRICA - Associação para a Cooperação e Desenvolvimento Urbano,http://www.uccla.pt/index.php?id=773,ONGD,1300-300,Lisboa,"Avenida da Índia, n.º 110", uccla@uccla.pt ; depfinanceiro@uccla.pt,927550188,
265,VIDA - Voluntariado Internacional para o Desenvolvimento Africano,http://www.vida.org.pt/,ONGD,1200-034,Lisboa,"Pátio do Pimenta, n.º 25", vida@vida.org.pt,213433022,
266,WACT – We Are Changing Together,http://www.wact.pt/,ONGD,1601-801,Lisboa,Apartado 042107 EC Telheiras, info@wact.pt,935989792,
267,AIGAST – Associação de Imigrantes Guineenses dos Amigos a Sul do Tejo,https://sites.google.com/site/aigastva/,ONGM,,,,,,Direitos Humanos
268,Amnistia Internacional Portugal,https://www.amnistia.pt/,ONGM,,,,,,Direitos Humanos
269,Associação Cultural Moinho da Juventude,http://moinhodajuventude.pt/,ONGM,,,,anna.rita.domingos@gmail.com,214974027,Direitos Humanos
270,AMUCIP – Associação para o Desenvolvimento das Mulheres Ciganas em Portugal,https://amucip.weebly.com/,ONGM,,,,,,Direitos das Mulheres
271,Associação ILGA – Portugal,https://ilga-portugal.pt/,ONGM,,,,,,Igualdade de Género
272,AMCV – Associação de Mulheres Contra a Violência,https://www.amcv.org.pt/,ONGM,,,,,,Direitos das Mulheres
273,Associação Espaços – Projetos Alternativos de Mulheres e Homens,http://associacaoespacos.blogspot.com/,ONGM,,,,,,Igualdade de Género
274,Associação Mulher Migrante – Associação de Estudo Cooperação e Solidariedade,https://mulhermigrante.wixsite.com/mulher-migrante,ONGM,,,,,,Direitos das Mulheres
275,Associação “não te prives” – Grupo de Defesa dos Direitos Sexuais,http://naoteprives.blogspot.com/,ONGM,,,,,,Igualdade de Género
276,ANE – Associação Nacional das Empresárias,https://www.ane.pt/,ONGM,,,,,,Direitos das Mulheres
277,APF – Associação para o Planeamento da Família,http://www.apf.pt/,ONGM,,,,,,Igualdade de Género
278,APEM – Associação Portuguesa de Estudos sobre as Mulheres,http://www.apem-estudos.org/,ONGM,,,,,,Direitos das Mulheres
279,APIHM – Associação Portuguesa de Investigação Histórica sobre as Mulheres,https://www.ifrwh.com/portugal,ONGM,,,,,,Direitos das Mulheres
280,APMD – Associação Portuguesa Mulheres e Desporto,https://cidadaniaemportugal.pt/apmd/,ONGM,,,,,,Direitos das Mulheres
281,AMONET – Associação Portuguesa de Mulheres Cientistas,https://amonetpt.wixsite.com/amonet,ONGM,,,,,,Igualdade de Género
282,APME – Associação Portuguesa de Mulheres Empresárias,https://amep.pt/,ONGM,,,,,,Direitos das Mulheres
283,APMJ – Associação Portuguesa de Mulheres Juristas,https://apmj.pt/,ONGM,,,,,,Direitos das Mulheres
284,Cáritas Portuguesa (Direitos Humanos) A definir,https://caritas.pt/,ONGM,,,,,,
285,Liga Portuguesa dos Direitos Humanos – CIVITAS,http://www.direitoshumanos.pt/,ONGM,,,,,,Direitos Humanos
286,Chapitô,https://chapito.org/,ONGM,,,,,,Igualdade de Género
287,Comissão de Mulheres da UGT,http://www.ugt.pt/cm/CMulheres.html,ONGM,,,,,,Direitos das Mulheres
288,Comissão para a Igualdade entre Mulheres e Homens da CGTP-IN,http://www.cgtp.pt/cgtp-in/organizacoes-especificas/comissao-de-igualdade-mulheres-homens,ONGM,,,,,,Direitos das Mulheres
289,Comunidade Fé Bahá,https://www.bahai.pt/?fbclid=IwAR3-kKGDpdfh3Q2mq3U0oabDuYFNe4PjALkcajIcSKKrtjgBW9j1UfgcFyo,ONGM,,,,,,Igualdade de Género
290,CNOD – Confederação Nacional dos Organismos de Deficientes,http://www.cnod.pt/,ONGM,,,,,,Direitos Humanos
291,CVP - Cruz Vermelha Portuguesa,https://www.cruzvermelha.pt/,ONGM,,,,,,Direitos Humanos
292,Dress For Success Lisboa,https://lisbon.dressforsuccess.org/,ONGM,,,,,,Direitos das Mulheres
293,FNAJ – Federação Nacional de Associações Juvenis,https://www.fnaj.pt/,ONGM,,,,,,Igualdade de Género
294,GRAAL,http://www.graal.org.pt/,ONGM,,,,,,Direitos das Mulheres
295,MARP – Associação das Mulheres Agricultoras e Rurais Portuguesas,https://www.facebook.com/associacaomarp/about/?ref=page_internal,ONGM,,,,,,Direitos das Mulheres
296,Moura Salúquia – Associação de Mulheres do Concelho de Moura,http://amcmoura.pt/,ONGM,,,,,,Direitos das Mulheres
297,MDM – Movimento Democrático de Mulheres,https://www.mdm.org.pt/,ONGM,,,,,,Direitos das Mulheres
298,Mulher Século XXI,https://www.mulherseculoxxi.com/,ONGM,,,,,,Direitos das Mulheres
299,OIKOS – Cooperação e Desenvolvimento,https://www.oikos.pt/,ONGM,,,,,,Direitos Humanos
300,Opus Diversidades,https://opusdiversidades.org/en/,ONGM,,,,,,Igualdade de Género
301,"Pró-Dignitate, Fundação de Direitos Humanos",https://www.prodignitate.pt/,ONGM,,,,,,Direitos Humanos
302,Rede ex aequo – Associação de Jovens lgbts,https://www.rea.pt/,ONGM,,,,,,Igualdade de Género
